ファイアエンブレム	Fire Emblem
暗黒龍	Shadow Dragon
暗黒竜	Shadow Dragon
聖戦の系譜	Genealogy of the Holy War
暁の女神	Radiant Dawn
蒼炎の軌跡	Path of Radiance
ドーピング	Stat Booster
聖魔の光石	The Sacred Stones
聖魔	The Sacred Stones
特効効果	Effectiveness
特攻効果	Effectiveness
CC	Promotion
クラスチェンジ	Promotion
下級職	un-Promoted
上級職	Promoted
CCボーナス	Promotion Gains
CCアイテム	Promotion Item
必殺	Critical
自軍	Player
友軍	Ally
友軍	NPC
敵軍	Enemy
幸運	Luck
幸運	LUK
魔防	Resistance
魔防	RES
守備	DEF
守備	defence
速さ	SPD
速さ	speed
技	SKIL
技	SKL
攻撃	POW
攻撃	STR
顔画像	Portrait
移動	MOVE
体格	CON
救出できる	Aid
同行	Trv
属性	Affin
状態	Cond
ユニット	Character
ユニット	Unit
近距離武器	Melee weapon
遠距離武器	Ranged weapon
闘技場	Arena
武器屋	Armory
道具屋	Vendor
秘密の店	Secret Shop
玉座	throne
古木	Snag
地形	Terrain
武器LV	WLVL
制圧	Seize
城門の制圧	Seize gate
ボスを倒す	Defeat boss
倒す	Defeat
NNNターン生存	Survive for NNN turns
敵全滅	Defeat enemy
敵全滅	Rout
玉座制圧	Seize throne
NNNの仕掛けの解除	Trigger NNN switches
AAAの生存	Protect AAA
AAAに話しかける	Speak to AAA
NNNの拠点到達	Earn NNN points
拠点到達	Earn point
輸送隊	Supply
輸送隊	Merlinus
杖	Staff
杖	STF
闇	Dark
闇	DRK
光	Light
光	LGT
理	Anima
理	ANM
弓	BOW
斧	AXE
槍	Lance
槍	LNC
剣	Sword
剣	SWD
すくみ	Weapon Triangle
命中補正	Hit Modifier
攻撃補正	Attack Modifier
攻撃武器	Equipped weapon
きずぐすり	Vulnarary
傷薬	Vulnarary
特効薬	Elixir
とっこうやく	Elixir
神器フラッシュ	Sacred Flash
神器	Sacred
進撃準備	Preparation
命中	Hit
射程	Range
射程	Rng
重さ	Weight
必殺	Crit
耐久	Uses
回避	Avoid
必殺無効	Negate Criticals
飛行特攻無効	Negate Flier Effectiveness
修理不可	Unrepairable
属性反転	Reaver Effect
双方反撃不可	Uncounterable
反撃不可	Uncounterable
魔法剣	Hits RES
2回攻撃	Brave Weapon
売却不可	Unsellable
防御無視	Negate Defenses
宝箱	Chest
支援	Support
魔物	Monster
モンスター	Monster
エイリーク	Eirika
ゼト	Seth
ライブ	Heal
リライブ	Mend
リカバー	Recover
リブロー	Physic
リザーブ	Fortify
レスト	Restore
リザイア	Nosferatu
ノスフェラート	Fenrir
章	Chapter
ステージ	Chapter
面	Chapter
序章	Prologue
終章	Final Chapter
NNN章	Chapter.NNN
NNN章外伝	Chapter.NNNx
NNN章異伝	Chapter.NNNxx
外伝	gaiden
フリーマップ	world map skirmishes
フリーマップ	skirmishes
貫通	Pierce
大盾	Great Shield
必的	Sure Strike
魔物特効	Slayer
瞬殺	Silencer
かぎ開	Pick
とうぞくのかぎ	Lockpick
盗賊の鍵	Lockpick
★	Prf
専用武器	Prf
マップ変化	Tile Change
マップ変化	Map Change
ラトナ	Latona
サイレス	Silence
スリープ	Sleep
ハマーン	Hammern
バーサク	Beserk
Mシールド	Barrier
大陸の魔物退治	Creature Campaign
マルス	Marth
シーダ	Caeda
シーダ	Shiida
