//midi(Decimal)	midiname	fingerprint
255	Dummy	SQ2d67b32ce7556c9736dab672a0cdd1a1

//Nimap FE8
//midi(Decimal)	midiname	fingerprint
0	Acoustic Grand Piano	ecf854cbd791505ccf7c455f6f90b180
1	Bright Acoustic Piano	b24b8f8c47eb2ffaf05d03708a90a8bb
2	Electric Grand Piano	be1e9e181c70906bf610dcc8feab6a5c
4	Electric Piano1	1c527d8a59bd3edaf255390344ac01c2
6	Harpsichord	196a3bd207cfa7c6d9ca877bbadbc505
8	Celesta	78be8d70fa9b2e8f81ccdede95bf75ee
10	Music Box	1d7e32e54b863df5899a5c4c74b1ef22
11	Vibraphone	a0ffa4b2e958aab25b9a03dbadecabb5
12	Marimba	215d7df651b0422fec0031b9d277c017
13	Xylophone	100673381776f52326eb6e6847fff4b8
14	Tubular Bells	74efbf0bfdb870fd823c55483588ec50
15	Dulcimer	5406ebaf2cd01856a437f7ed7f316064
18	Rock Organ	1ee735a527f401b68967006089d66953
19	Church Organ	e84b7ac7f10222e5688ce314ede33c7b
20	Reed Organ	10be4e00f61e49391e01f85bf6fbe443
21	Accordion	baaa7443fbfa4b50bc219101eded9622
23	Tango Accordion	7681217ec25cde23b3fed09d3b5daa34
24	Acoustic Guitar (nylon)	67ca844421353175b7b7ad9dfa4a7e61
28	Electric Guitar (muted)	51c47e67fc7a3534abd03ec5ad8c0603
29	Overdriven Guitar	82fc415dbc8ce17ef489760e3352dbc7
30	Distortion Guitar	5147a06a0902b522202a6629c7244b2d
31	Guitar harmonics	4c2a71b290dcf74d0360de6f6ed5d34d
32	Acoustic Bass	287d17b15b12ad3a7bd504c22199f12a
33	Electric Bass (finger)	169dc8763a2b46da5e5140026cb6f8d4
34	Electric Bass (pick)	169dc8763a2b46da5e5140026cb6f8d4
36	Slap Bass 1	9060cf344e45139d98a7e3e48d7a983f
38	Synth Bass 1	7f9101e918a0667117eaaa263daa2414
39	Synth Bass 2	c8ed9e6ab524e2e7f18aefbb67e76258
40	Violin	5982fbcd78893e405089f4b8c56e40b2
41	Viola	325dd5ad1c398073e6377f33c86abca3
42	Cello	d80cc4926aed7570908be5523b745c51
45	Pizzicato Strings	3b67549fcce8b926b9e4856f607fa404
46	Orchestral Harp	bfdf6ac8c6295b9b12fd5c8a742996ce
47	Timpani	30ab0ba0b1f13378ed34269ab7098a0d
50	SynthStrings 1	8146978088c30bd6671be80be5c4f651
51	SynthStrings 2	4bd74ec8153ef8f70e1411799d100092
52	Choir Aahs	bd57ac7b99e292e414ff37bcff02945b
